location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
Turkey,2021-04-30,4820591,31891,38538.714,40131,394,351.286,57157.272,378.128,456.95,475.829,4.672,4.165,0.72,265287,47261999,560.381,3.145,274172,3.251,tests performed,22816891,13712254,9104637,248719,275638,27.05,16.26,10.8,3268,87.04,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA
Italy,2021-05-06,4082198,11798,10427.143,122263,258,245.571,67516.946,195.131,172.458,2022.152,4.267,4.062,0.84,324640,60203970,995.735,5.369,280427,4.638,tests performed,22824380,16051986,6917896,519572,456036,37.75,26.55,11.44,7543,77.78,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,NA
Brazil,2021-04-06,13100580,86979,63210.143,336947,4195,2757.286,61632.558,409.199,297.376,1585.19,19.736,12.972,0.99,NA,NA,NA,NA,NA,NA,no information,22850791,17791338,5059453,889838,661176,10.75,8.37,2.38,3111,70.83,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.765,NA
United Kingdom,2021-03-05,4219788,6024,6353.286,124495,236,263.857,62159.911,88.737,93.588,1833.883,3.476,3.887,0.72,953671,91944455,1354.395,14.048,769964,11.342,tests performed,22887118,21796278,1090840,494235,348037,33.71,32.11,1.61,5127,86.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,NA
Turkey,2021-05-01,4849408,28817,36856,40504,373,356.143,57498.952,341.68,436.998,480.252,4.423,4.223,0.71,242194,47504193,563.253,2.872,268602,3.185,tests performed,22899046,13752107,9146939,82155,261520,27.15,16.31,10.85,3101,87.04,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA
Indonesia,2021-05-17,1744045,4295,3638.571,48305,212,155.286,6376.213,15.702,13.303,176.603,0.775,0.568,0.97,36988,10446166,38.191,0.135,29791,0.109,people tested,22922067,13828102,9093965,200970,93895,8.38,5.06,3.32,343,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,NA
Spain,2021-05-18,3619848,3988,4787.857,79502,70,57.429,77421.983,85.296,102.404,1700.404,1.497,1.228,0.9,NA,NA,NA,NA,109658,2.345,tests performed,22973955,15741247,7469173,386612,335734,49.14,33.67,15.98,7181,61.57,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,NA
Turkey,2021-05-02,4875388,25980,35059.857,40844,340,355.143,57806.995,308.042,415.701,484.283,4.031,4.211,0.7,240145,47744338,566.1,2.847,265726,3.151,tests performed,23006734,13800405,9206329,107688,267967,27.28,16.36,10.92,3177,87.04,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA
India,2021-03-08,11244786,15388,17179.857,157930,77,97.429,8148.37,11.151,12.449,114.442,0.056,0.071,1.22,NA,NA,NA,NA,744982,0.54,samples tested,23008733,18943283,4065450,2019723,1164942,1.67,1.37,0.29,844,63.43,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,NA
Germany,2021-04-20,3198534,31397,20644.143,80680,327,220.429,38175.978,374.738,246.397,962.953,3.903,2.631,1.07,NA,NA,NA,NA,192211,2.294,tests performed,23053836,17389378,5664482,558092,520162,27.52,20.76,6.76,6208,75,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,NA
